ID,Age,Gender,Angry,Disgust,Fear,Happy,Sad,Surprised,Neutral,Style1,VStyle1,Style2,VStyle2,Style3,VStyle3
1671ac73,27,Male,0.03130944013595581,0.0006196175143122673,0.017340693473815918,0.00927619457244873,0.055697360038757325,0.00914433717727661,0.8766123962402343,Bohemian,0.17972676962085354,Casual,0.14525586585325487,Eclectic,0.1397899379393892
7ec15a29,27,Male,0.03130944013595581,0.0006196175143122673,0.017340693473815918,0.00927619457244873,0.055697360038757325,0.00914433717727661,0.8766123962402343,Bohemian,0.17972676962085354,Casual,0.14525586585325487,Eclectic,0.1397899379393892
22165e96,27,Male,0.03130944013595581,0.0006196175143122673,0.017340693473815918,0.00927619457244873,0.055697360038757325,0.00914433717727661,0.8766123962402343,Bohemian,0.17972676962085354,Casual,0.14525586585325487,Eclectic,0.1397899379393892
b22518d7,27,Male,0.03130944013595581,0.0006196175143122673,0.017340693473815918,0.00927619457244873,0.055697360038757325,0.00914433717727661,0.8766123962402343,Bohemian,0.17972676962085354,Casual,0.14525586585325487,Eclectic,0.1397899379393892
595eb4d4,22,Male,0.05098346710205078,0.0049896141886711124,0.11104610443115234,0.02742805242538452,0.09616576194763184,0.1324145221710205,0.576972427368164,Eclectic,0.14499845456429417,Casual,0.1393241451324116,Romantic,0.10621503011427445
ce979337,26,Male,0.0020636725425720215,2.27917218580842e-05,0.0022641772031784056,0.9082627868652344,0.0025028276443481447,0.027826976776123048,0.05705670833587646,Casual,0.157041039211849,Vintage,0.1397459709606478,Romantic,0.1231167244218552
78aa7578,26,Male,0.0020636725425720215,2.27917218580842e-05,0.0022641772031784056,0.9082627868652344,0.0025028276443481447,0.027826976776123048,0.05705670833587646,Casual,0.157041039211849,Vintage,0.1397459709606478,Romantic,0.1231167244218552
7c3dc97c,26,Male,0.0020636725425720215,2.27917218580842e-05,0.0022641772031784056,0.9082627868652344,0.0025028276443481447,0.027826976776123048,0.05705670833587646,Casual,0.157041039211849,Vintage,0.1397459709606478,Romantic,0.1231167244218552
4b4a986a,26,Male,0.0020636725425720215,2.27917218580842e-05,0.0022641772031784056,0.9082627868652344,0.0025028276443481447,0.027826976776123048,0.05705670833587646,Casual,0.157041039211849,Vintage,0.1397459709606478,Romantic,0.1231167244218552
2a856b92,26,Male,0.0020636725425720215,2.27917218580842e-05,0.0022641772031784056,0.9082627868652344,0.0025028276443481447,0.027826976776123048,0.05705670833587646,Casual,0.157041039211849,Vintage,0.1397459709606478,Romantic,0.1231167244218552
416f9997,24,Male,0.01943084955215454,0.0004237254709005356,0.005615169405937195,0.931552734375,0.029709937572479247,0.001695060282945633,0.01157264232635498,Casual,0.1606394760516121,Vintage,0.14305038106129636,Business,0.13239160120189544
9db10a5a,19,Female,0.10318512916564941,0.0016303203999996185,0.07436027526855468,0.1593169403076172,0.5153738403320313,0.004134077429771423,0.1419995403289795,Casual,0.14972010549477263,Business,0.119186821564712,Eclectic,0.11628825152056117
55ce394d,19,Female,0.10318512916564941,0.0016303203999996185,0.07436027526855468,0.1593169403076172,0.5153738403320313,0.004134077429771423,0.1419995403289795,Casual,0.14972010549477263,Business,0.119186821564712,Eclectic,0.11628825152056117
e73b5b63,22,Male,0.004058402180671692,2.8487457893788814e-05,0.0031363558769226074,0.9264064788818359,0.009115786552429199,0.0013885928690433502,0.055865969657897946,Business,0.21100257720401014,Sexy,0.18016920912162662,Elegant,0.09787362686327997
96add373,23,Male,0.045893044471740724,0.000492679663002491,0.05442286968231201,0.036349718570709226,0.7370674133300781,0.0005741921067237854,0.12520008087158202,Denim,0.23500829370885928,Elegant,0.13939889214539392,Business,0.12826667657957555
e50b4f56,22,Male,0.011950348615646362,0.002351178973913193,0.006216407418251037,0.9051774597167969,0.03905164003372193,0.023956410884857178,0.011296491622924804,Eclectic,0.1620759408424335,Sexy,0.15827921704924833,Elegant,0.10719748802487526
